round,group,parameter_count,coordinate_events,active_clients,firing_fraction,mean_abs_pre_reset_evidence,config_name,partition_seed,train_seed
1641,stage1.block2,4672,2485,10,0.053189212328767124,0.005332672176882625,event_t0125_q005,4200,94200
1641,stage2.block1,14528,8463,10,0.058253028634361236,0.005415961192920804,event_t0125_q005,4200,94200
1641,stage2.block2,18560,7931,10,0.04273168103448276,0.0051961101591587065,event_t0125_q005,4200,94200
1641,stage3.block1,57728,20766,10,0.035972145232815965,0.005282961437478662,event_t0125_q005,4200,94200
1641,stage3.block2,73984,20735,10,0.028026330017301038,0.005762346880510449,event_t0125_q005,4200,94200
1641,head,650,595,10,0.09153846153846154,0.006263951631262898,event_t0125_q005,4200,94200
1642,stem,464,1250,10,0.26939655172413796,0.009097425779327751,event_t0125_q005,4200,94200
1642,stage1.block1,4672,3829,10,0.08195633561643835,0.005818175431340933,event_t0125_q005,4200,94200
1642,stage1.block2,4672,2405,10,0.05147688356164384,0.0052803703118115665,event_t0125_q005,4200,94200
1642,stage2.block1,14528,7820,10,0.05382709251101322,0.005351941101253033,event_t0125_q005,4200,94200
1642,stage2.block2,18560,7315,10,0.03941271551724138,0.005136241484433412,event_t0125_q005,4200,94200
1642,stage3.block1,57728,19112,10,0.033106984478935696,0.005228425981476903,event_t0125_q005,4200,94200
1642,stage3.block2,73984,20271,10,0.027399167387543253,0.0057295604608953,event_t0125_q005,4200,94200
1642,head,650,575,10,0.08846153846153847,0.006265121325850487,event_t0125_q005,4200,94200
1643,stem,464,1129,10,0.2433189655172414,0.008559022704139352,event_t0125_q005,4200,94200
1643,stage1.block1,4672,3155,10,0.06752996575342465,0.00558468634262681,event_t0125_q005,4200,94200
1643,stage1.block2,4672,2093,10,0.044798801369863014,0.005172945838421583,event_t0125_q005,4200,94200
1643,stage2.block1,14528,6937,10,0.047749174008810576,0.005252164136618376,event_t0125_q005,4200,94200
1643,stage2.block2,18560,6613,10,0.035630387931034485,0.005073701357468962,event_t0125_q005,4200,94200
1643,stage3.block1,57728,17687,10,0.030638511640798227,0.00519783403724432,event_t0125_q005,4200,94200
1643,stage3.block2,73984,18899,10,0.025544712370242216,0.0057252846658229824,event_t0125_q005,4200,94200
1643,head,650,548,10,0.0843076923076923,0.0061593242455273865,event_t0125_q005,4200,94200
1644,stem,464,1267,10,0.27306034482758623,0.009247594885528088,event_t0125_q005,4200,94200
1644,stage1.block1,4672,3686,10,0.07889554794520548,0.005763846356421709,event_t0125_q005,4200,94200
1644,stage1.block2,4672,2487,10,0.05323202054794521,0.0053317838348448275,event_t0125_q005,4200,94200
1644,stage2.block1,14528,8207,10,0.0564909140969163,0.005403400864452124,event_t0125_q005,4200,94200
1644,stage2.block2,18560,7893,10,0.042526939655172416,0.00518895941786468,event_t0125_q005,4200,94200
1644,stage3.block1,57728,19715,10,0.03415153824833703,0.005245348205789924,event_t0125_q005,4200,94200
1644,stage3.block2,73984,20465,10,0.02766138624567474,0.005750354891642928,event_t0125_q005,4200,94200
1644,head,650,526,10,0.08092307692307692,0.006123507441952824,event_t0125_q005,4200,94200
1645,stem,464,1173,10,0.25280172413793106,0.009027942223474384,event_t0125_q005,4200,94200
1645,stage1.block1,4672,3991,10,0.08542380136986301,0.005918319569900632,event_t0125_q005,4200,94200
1645,stage1.block2,4672,2584,10,0.055308219178082194,0.005395768769085407,event_t0125_q005,4200,94200
1645,stage2.block1,14528,9013,10,0.062038821585903084,0.005516385100781918,event_t0125_q005,4200,94200
1645,stage2.block2,18560,8579,10,0.046223060344827586,0.00526533923111856,event_t0125_q005,4200,94200
1645,stage3.block1,57728,22292,10,0.038615576496674055,0.005334208067506552,event_t0125_q005,4200,94200
1645,stage3.block2,73984,21447,10,0.02898870025951557,0.005760111007839441,event_t0125_q005,4200,94200
