factor,from,to,metric,n_pairs,mean_paired_difference,std_paired_difference,paired_t95_low,paired_t95_high,positive_pairs,negative_pairs,zero_pairs,min_paired_difference,max_paired_difference
local_steps,strong_e1,strong_e5,heterogeneity_ratio,10,-327.9724276991956,51.3989961465552,-364.74105455166347,-291.2038008467277,0,10,0,-411.27747156386744,-258.9150530240975
local_steps,strong_e1,strong_e5,mean_curvature_remainder,10,0.007059746137565581,0.0013645011633446485,0.006083640807186668,0.008035851467944494,10,0,0,0.0050771748261420006,0.009320061187849199
local_steps,strong_e1,strong_e5,mean_coordinate_events_per_audit,10,3093.061290322581,104.18850754032434,3018.529321932718,3167.593258712444,10,0,0,2847.4516129032254,3217.9032258064526
local_steps,strong_e1,strong_e5,mean_aggregate_energy,10,3109.5451612903225,104.06264894653316,3035.103226714702,3183.987095865943,10,0,0,2911.1290322580644,3281.6451612903215
local_steps,strong_e1,strong_e5,mean_cancellation_fraction,10,0.039455597008331435,0.005745756620013876,0.035345330330281796,0.04356586368638107,10,0,0,0.02966480232843248,0.0477227854144885
local_steps,strong_e1,strong_e5,max_memory_opposition_penalty,10,0.0,0.0,0.0,0.0,0,0,10,0.0,0.0
local_steps,strong_e1,strong_e5,defect_to_target_fraction,10,-0.021995335496650857,0.037196101714029615,-0.048603823732296256,0.004613152738994538,2,8,0,-0.05421508764287411,0.057019804979220504
local_steps,strong_e1,strong_e5,final_test_ce,10,-0.30727017521858213,0.010966634810810396,-0.31511523316555523,-0.29942511727160903,0,10,0,-0.32452115416526794,-0.28909942507743835
local_steps,strong_e1,strong_e5,final_test_accuracy,10,0.10293000000000001,0.009993559036810767,0.09578103852797269,0.11007896147202732,10,0,0,0.08999999999999997,0.11819999999999997
local_steps,strong_e1,strong_e5,final_worst_class_accuracy,10,0.3426,0.04522093910273573,0.3102508889191973,0.37494911108080275,10,0,0,0.265,0.392
local_steps,strong_e1,strong_e5,coordinate_events_total,10,467700.1,18599.370314610118,454394.91199907433,481005.2880009256,10,0,0,444447.0,498601.0
local_steps,strong_e1,strong_e5,uplink_packetized_bits,10,7483214.4,297578.3061579291,7270339.703628257,7696089.096371744,10,0,0,7111152.0,7977616.0
local_steps,strong_e1,strong_e5,unicast_hybrid_total_bits,10,82315358.4,3273361.367737221,79973736.73991083,84656980.06008919,10,0,0,78222672.0,87753776.0
