architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,point_id,benchmark,role,configuration,seed_index,seed_subset,partition_seed,train_seed,comparison,source_campaign
cifar_cnn,strom,20570,120,5,0.05,1.507157346,1.35547511,1.42139184,0.4826,0.4826,0.262,1.714392982,141488656,141565456,79654784,796586240,221220240,938151696,1200,8843041,7369.200833,0.3406978672,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.448,0.621,0.348,0.262,0.333,0.464,0.727,0.471,0.717,0.435,cifar_strom_quality,cifar_cnn,quality,strom_t0025,3,extension,3800,83800,quality-selected,p12
cifar_cnn,strom,20570,120,5,0.05,1.534845718,1.401205688,1.452683667,0.468,0.468,0.054,1.744029394,123863360,123940160,79654784,796586240,203594944,920526400,1200,7741460,6451.216667,0.3375773897,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.505,0.607,0.234,0.054,0.247,0.564,0.733,0.661,0.554,0.521,cifar_strom_quality,cifar_cnn,quality,strom_t0025,4,extension,3900,83900,quality-selected,p12
cifar_cnn,strom,20570,120,5,0.05,1.542173392,1.40272074,1.463399045,0.4676,0.4676,0.228,1.741976223,130185536,130262336,79654784,796586240,209917120,926848576,1200,8136596,6780.496667,0.3367639634,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.411,0.666,0.255,0.228,0.403,0.469,0.57,0.575,0.538,0.561,cifar_strom_quality,cifar_cnn,quality,strom_t0025,5,extension,4000,84000,quality-selected,p12
cifar_cnn,strom,20570,120,5,0.05,1.575043341,1.441685095,1.475366937,0.4621,0.4621,0.164,1.770160233,122911680,122988480,79654784,796586240,202643264,919574720,1200,7681980,6401.65,0.3395689496,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.541,0.503,0.366,0.164,0.526,0.412,0.557,0.467,0.608,0.477,cifar_strom_quality,cifar_cnn,quality,strom_t0025,6,extension,4100,84100,quality-selected,p12
cifar_cnn,strom,20570,120,5,0.05,1.535775131,1.397836731,1.454439099,0.4789,0.4789,0.26,1.742555983,120432672,120509472,79654784,796586240,200164256,917095712,1200,7527042,6272.535,0.333915791,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.574,0.676,0.354,0.26,0.412,0.383,0.619,0.539,0.543,0.429,cifar_strom_quality,cifar_cnn,quality,strom_t0025,7,extension,4200,84200,quality-selected,p12
cifar_cnn,strom,20570,120,5,0.05,1.526940268,1.383655371,1.456665088,0.4708,0.4708,0.243,1.757071441,135488256,135565056,79654784,796586240,215219840,932151296,1200,8468016,7056.68,0.344929379,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.486,0.629,0.416,0.347,0.243,0.406,0.571,0.555,0.553,0.502,cifar_strom_quality,cifar_cnn,quality,strom_t0025,8,extension,4300,84300,quality-selected,p12
cifar_cnn,strom,20570,120,5,0.05,1.542322269,1.411599475,1.499177936,0.4614,0.4614,0.257,1.740637172,131762384,131839184,79654784,796586240,211493968,928425424,1200,8235149,6862.624167,0.3366646885,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.651,0.676,0.371,0.257,0.371,0.394,0.587,0.455,0.523,0.329,cifar_strom_quality,cifar_cnn,quality,strom_t0025,9,extension,4400,84400,quality-selected,p12
cnn,event,14538,80,5,0.1,0.4665173667,0.4622880816,0.5024363399,0.8167,0.8167,0.405,0.800504674,6101820,6153020,6618300,66208600,12771320,72361620,800,406788,508.485,0.3155309879,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.829,0.953,0.687,0.841,0.779,0.906,0.405,0.9,0.913,0.954,fmnist_cnn_event,fmnist_cnn,event,fixed,0,original,2500,72500,quality-selected,p12
cnn,event,14538,80,5,0.1,0.4815667504,0.4772947133,0.5250627398,0.8082,0.8082,0.35,0.7911854968,6062595,6113795,6579075,65816350,12692870,71930145,800,404173,505.21625,0.3155450355,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.824,0.954,0.656,0.753,0.859,0.925,0.35,0.853,0.945,0.963,fmnist_cnn_event,fmnist_cnn,event,fixed,1,original,2600,72600,quality-selected,p12
cnn,event,14538,80,5,0.1,0.4575153858,0.4532649517,0.5076972246,0.8152,0.8152,0.407,0.7857837436,6271875,6323075,6788355,67909150,13111430,74232225,800,418125,522.65625,0.3171155967,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.807,0.95,0.784,0.864,0.65,0.904,0.407,0.918,0.933,0.935,fmnist_cnn_event,fmnist_cnn,event,fixed,2,original,2700,72700,quality-selected,p12
